Mean,Std,Variance,Maximum,Minimum,RMS,PeakToPeak,Median,Energy,Modulation,SNR
0.0078124995,0.0027395806,7.505302e-06,0.016469846,0.00040934916,0.008278916,0.016060496,0.008003613,0.008773178,QPSK,2
0.0078125,0.002668424,7.1204868e-06,0.014668104,0.0015133176,0.008255643,0.013154787,0.007953273,0.008723922,QPSK,2
0.0078125,0.002873162,8.2550605e-06,0.014592638,0.0013037919,0.008324075,0.013288846,0.007819406,0.008869148,QPSK,2
0.0078125,0.0029911036,8.946701e-06,0.014697252,0.0012980503,0.008365516,0.013399201,0.0075624846,0.008957677,QPSK,2
0.007812501,0.0025777826,6.644963e-06,0.013637573,0.002086437,0.008226793,0.011551136,0.0075797094,0.008663056,QPSK,2
0.007812501,0.0030658368,9.399355e-06,0.014507861,0.00091533497,0.008392528,0.013592526,0.007945761,0.009015619,QPSK,2
0.0078125,0.0026375712,6.9567823e-06,0.015632695,0.0011359584,0.008245722,0.014496736,0.007696909,0.008702968,QPSK,2
0.007812499,0.002752842,7.578138e-06,0.014715441,0.0014458161,0.008283313,0.013269625,0.008191652,0.0087825,QPSK,2
0.0078125,0.0029142122,8.492632e-06,0.013410002,0.0014817087,0.008338333,0.011928293,0.007828307,0.008899557,QPSK,2
0.0078125,0.0025766194,6.6389675e-06,0.016870782,0.0011897052,0.008226429,0.015681077,0.007885803,0.008662289,QPSK,2
0.007812499,0.004414334,1.9486342e-05,0.016582558,0.001246387,0.008973377,0.015336171,0.006368489,0.010306751,PAM4,8
0.007812501,0.0037850826,1.432685e-05,0.013576761,0.0005230288,0.00868113,0.013053732,0.008849207,0.0096463375,PAM4,8
0.0078125,0.0045964248,2.112712e-05,0.018777879,0.0013396895,0.009064341,0.01743819,0.0060170065,0.010516772,PAM4,8
0.0078125,0.004410419,1.9451796e-05,0.016236579,0.0010072386,0.008971452,0.015229341,0.0072442736,0.010302329,PAM4,8
0.0078125,0.00471553,2.2236225e-05,0.017954215,0.00042333163,0.009125316,0.017530885,0.0073489696,0.010658738,PAM4,8
0.007812501,0.004711961,2.2202574e-05,0.017768525,0.00093499257,0.009123472,0.016833533,0.007031326,0.01065443,PAM4,8
0.0078125,0.0044287387,1.9613726e-05,0.017275758,0.0008022339,0.008980473,0.016473524,0.0070924815,0.010323058,PAM4,8
0.0078125,0.004553434,2.0733762e-05,0.015844304,0.00070736127,0.009042617,0.015136943,0.0071273874,0.010466422,PAM4,8
0.0078125,0.0048406604,2.3431992e-05,0.018770186,0.0007493426,0.009190601,0.018020844,0.006283694,0.0108117955,PAM4,8
0.0078124995,0.004271546,1.8246104e-05,0.016313765,0.0005491161,0.008904002,0.01576465,0.0069167484,0.010148,PAM4,8
0.007812499,0.004279335,1.8312709e-05,0.027653707,0.0010893256,0.008907741,0.026564382,0.0071258172,0.010156525,AM-DSB,-4
0.0078124995,0.0042679706,1.8215575e-05,0.023968853,0.00052064215,0.008902287,0.02344821,0.007157323,0.010144092,AM-DSB,-4
0.007812501,0.004194618,1.7594823e-05,0.01647372,0.00044064684,0.008867355,0.016033074,0.0075597707,0.010064639,AM-DSB,-4
0.0078125,0.0044073844,1.9425039e-05,0.020948455,0.0007556828,0.008969961,0.020192772,0.007736684,0.010298904,AM-DSB,-4
0.0078125,0.0039477753,1.558493e-05,0.018858498,0.0009935586,0.00875329,0.017864939,0.0076821507,0.009807372,AM-DSB,-4
0.0078125,0.003614236,1.3062701e-05,0.0195987,0.0011301992,0.0086080115,0.018468501,0.007637021,0.009484526,AM-DSB,-4
0.0078125,0.0036011734,1.296845e-05,0.017858403,0.0012416315,0.008602534,0.016616771,0.007675521,0.009472461,AM-DSB,-4
0.0078124995,0.0038783792,1.50418255e-05,0.016762601,0.0007272472,0.008722211,0.016035354,0.0074110692,0.009737851,AM-DSB,-4
0.0078125,0.0036705635,1.3473036e-05,0.01781309,0.000948799,0.008631812,0.01686429,0.006881575,0.009537049,AM-DSB,-4
0.0078125,0.004018797,1.615073e-05,0.020222928,0.0008890527,0.0087855505,0.019333875,0.0071228594,0.009879794,AM-DSB,-4
