OriginalSNR,Accuracy_RF,Accuracy_SVM,Accuracy_CNN
0.0,0.966,0.8608745031232254,0.9758897818599312
2.0,0.959,0.9442912300055156,0.9931506849315068
4.0,0.961,0.9624101713653952,0.9954545454545456
6.0,0.9586666666666668,0.9706696181516326,0.9953917050691244
8.0,0.96,0.9704570791527312,0.9920814479638008
8.0,0.96,0.97459584295612,0.9920814479638008
10.0,0.966,0.9763058696822832,0.9954493742889648
12.0,0.9576666666666668,0.9669097027481772,0.9937759336099584
14.0,0.961,0.9631490787269682,0.9883966244725738
16.0,0.962,0.9692390717754992,0.9922222222222222
