Feature,Importance
M20,0.11630180688266512
AmplitudeStd,0.10177364341280516
FrequencyStd,0.09906238244537349
SigmaZ2,0.0825693676165659
BlindSNR,0.06793838392816934
M2M4SNR,0.05564828271918914
R5,0.05304184334124656
SpectralEntropy,0.05072942076766976
R3,0.047071425996766884
C42,0.0468964023856208
R4,0.04221026525348976
R1,0.040054887702382344
SpectralBandwidth,0.039172979817570015
R2,0.0376054078508041
AmplitudeKurtosis,0.030784854765435698
SpectralSymmetry,0.029889583654260844
SigmaDP,0.02508839744441882
PhaseStd,0.02389031032395868
OriginalSNR,0.009657028735786086
SigmaAF,0.0006133249558215322
